video_id,youtube_id,label,benchmark,domain,sub_category,duration_type,total_sec,total_frames,full_mu,full_sigma,full_peak_count,full_autocorr,s1_mu,s1_sigma,s1_peak_count,s1_autocorr,s1_mu_diff,s1_sigma_diff,s2_mu,s2_sigma,s2_peak_count,s2_autocorr,s2_mu_diff,s2_sigma_diff,s3_mu,s3_sigma,s3_peak_count,s3_autocorr,s3_mu_diff,s3_sigma_diff,status,error_msg,processed_at
112,MPfuSfiZ96A,film_television_documentary_short,video_mme,Film & Television,Documentary,short,77.0,77.0,0.833469,0.124718,11.8421,-0.282882,0.824696,0.125271,12.2034,-0.378084,-0.008773,0.000553,0.821953,0.140797,15.0,-0.064596,-0.011516,0.016079,0.826251,0.126977,12.6316,-0.372095,-0.007218,0.002259,success,,2026-04-16 05:03:35
113,HqAfzcJurMM,film_television_documentary_short,video_mme,Film & Television,Documentary,short,107.0,107.0,0.886904,0.124943,7.3585,-0.120669,0.879989,0.128114,7.1186,-0.182545,-0.006915,0.003171,0.880564,0.138104,7.1186,-0.003641,-0.00634,0.013161,0.874456,0.131528,8.1356,-0.063345,-0.012448,0.006585,success,,2026-04-16 05:03:55
121,43wqf_KhiUo,film_television_news_report_short,video_mme,Film & Television,News Report,short,116.0,116.0,0.939037,0.080469,5.7391,-0.074909,0.936615,0.090336,7.1186,-0.161171,-0.002422,0.009867,0.936588,0.096655,9.1525,-0.125775,-0.002449,0.016186,0.933085,0.100133,8.1356,-0.17564,-0.005952,0.019664,success,,2026-04-16 05:04:18
122,Z-rHofd6g2Q,film_television_news_report_short,video_mme,Film & Television,News Report,short,66.0,66.0,0.956614,0.05012,6.4615,0.179074,0.95398,0.051842,7.1186,0.155505,-0.002634,0.001722,0.947841,0.060463,9.6,-0.140166,-0.008773,0.010343,0.952186,0.050792,6.9231,0.199982,-0.004428,0.000672,success,,2026-04-16 05:04:35
123,lmlw4NNZBbw,film_television_news_report_short,video_mme,Film & Television,News Report,short,117.0,117.0,0.962003,0.066812,6.2069,0.025444,0.956246,0.078819,6.1017,0.072082,-0.005757,0.012007,0.958023,0.073558,7.1186,-0.117835,-0.00398,0.006746,0.965271,0.065866,5.0847,-0.017717,0.003268,-0.000946,success,,2026-04-16 05:04:54
104,TIK01MpwWGg,film_television_movie_tv_show_short,video_mme,Film & Television,Movie & TV Show,short,292.0,292.0,0.920056,0.083365,8.2474,0.117691,0.916454,0.096204,9.1525,0.133544,-0.003602,0.012839,0.907267,0.107523,6.1017,0.277049,-0.012789,0.024158,0.90526,0.095364,10.1695,0.204011,-0.014796,0.011999,success,,2026-04-16 05:07:20
301,dphq5X-rMew,knowledge_humanity_history_medium,video_mme,Knowledge,Humanity & History,medium,414.0,414.0,0.874908,0.160982,10.46,-0.158916,0.848323,0.161174,10.1695,-0.244049,-0.026585,0.000192,0.871761,0.166978,9.1525,-0.194117,-0.003147,0.005996,0.883823,0.151907,7.1186,-0.151714,0.008915,-0.009075,success,,2026-04-16 05:08:52
302,K64wRD8eaus,knowledge_humanity_history_medium,video_mme,Knowledge,Humanity & History,medium,505.0,505.0,0.875731,0.164294,10.3571,-0.2074,0.85293,0.165602,11.1864,-0.360063,-0.022801,0.001308,0.831442,0.183116,12.2034,-0.427149,-0.044289,0.018822,0.880814,0.153626,11.1864,-0.312051,0.005083,-0.010668,success,,2026-04-16 05:09:40
303,kSBB5PsRV-k,knowledge_humanity_history_medium,video_mme,Knowledge,Humanity & History,medium,285.0,285.0,0.905334,0.116982,8.662,-0.013888,0.892329,0.122746,12.2034,0.132672,-0.013005,0.005764,0.875272,0.134756,12.2034,0.112226,-0.030062,0.017774,0.885946,0.13608,9.1525,0.058846,-0.019388,0.019098,success,,2026-04-16 05:10:10
321,7Hk9jct2ozY,knowledge_biology_medicine_medium,video_mme,Knowledge,Biology & Medicine,medium,439.0,439.0,0.937741,0.069406,5.8904,0.13241,0.94204,0.060763,7.1186,0.060328,0.004299,-0.008643,0.936398,0.054764,7.1186,0.15878,-0.001343,-0.014642,0.952813,0.042786,7.1186,0.007397,0.015072,-0.02662,success,,2026-04-16 05:11:12
